Model,Sampling,F1,Precision,Recall,Threshold
RandomForest,SMOTE,0.1200215303345178,0.07260915092529281,0.34876995845917236,0.656480542554875
RandomForest,SMOTETomek,0.1196749343027893,0.07091508595756173,0.38659309408852377,0.6247545091149375
CatBoost,SMOTETomek,0.119365122119707,0.07363274646393136,0.32374947822845446,0.9853634722360566
XGBoost,SMOTETomek,0.11929142307232428,0.07548276258776741,0.2847667262658122,0.9860159754753113
CatBoost,SMOTE,0.11874367382081696,0.07443917873701102,0.3048775315685736,0.9855798270617266
LightGBM,SMOTE,0.11837481351194327,0.07689866583234997,0.26893612176975984,0.984646067203857
LightGBM,SMOTETomek,0.11816076084261151,0.07763305009049377,0.25428745538434755,0.9865906601985067
XGBoost,SMOTE,0.11736465416964655,0.07738768372410126,0.24450493646106083,0.9879314303398132
XGBoost-Deep,SMOTETomek,0.1169658683561186,0.0747919488681195,0.26889036212619394,0.9929900169372559
XGBoost-Deep,SMOTE,0.11675246358894568,0.07350620051490982,0.28476672626581223,0.9920554161071777
CatBoost,BorderlineSMOTE,0.11526572960588778,0.06963664332383035,0.3438647478866857,0.9797143306533741
RandomForest,BorderlineSMOTE,0.11335073294375819,0.07470522145357016,0.28657813849769975,0.6301873379144811
LightGBM,BorderlineSMOTE,0.10427220176117824,0.06811153336701471,0.28223878498101534,0.9376913510240045
XGBoost,BorderlineSMOTE,0.1031236550253703,0.06438826647770787,0.31096133198509796,0.931828498840332
XGBoost-Deep,BorderlineSMOTE,0.10241676515110228,0.06924212138947404,0.2663925552408185,0.9472143054008484
