Threshold,F1,Precision,Recall,Predicted,True_Positive,False_Positive,False_Negative
0.3,0.05139644541167936,0.026485981308411215,0.8640243902439024,53500,1417,52083,223
0.5,0.05417212756662298,0.02854699730316385,0.5292682926829269,30406,868,29538,772
0.7,0.03530031612223393,0.019319492502883506,0.20426829268292682,17340,335,17005,1305
0.8,0.026713124274099883,0.019568916619398753,0.04207317073170732,3526,69,3457,1571
0.9,0.024775736864587783,0.04136947218259629,0.01768292682926829,701,29,672,1611
0.95,0.021691973969631236,0.03759398496240601,0.01524390243902439,665,25,640,1615
0.985851972386441,0.018604651162790697,0.0392156862745098,0.012195121951219513,510,20,490,1620
0.99,0.018717828731867104,0.04024144869215292,0.012195121951219513,497,20,477,1620
0.995,0.01807802093244529,0.04112554112554113,0.011585365853658536,462,19,443,1621
0.999,0.018636586562040217,0.047619047619047616,0.011585365853658536,399,19,380,1621
